ptbin/I:EBEE/I:jetbin/I:yield/F:yield_err/F
0 0 0 0 0
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 16018.6 158.86
12 0 0 22587.4 183.65
13 0 0 19744.1 177.30
14 0 0 15379.0 153.12
15 0 0 6527.7 98.50
16 0 0 3079.9 66.92
17 0 0 2464.7 56.71
18 0 0 1269.8 38.47
19 0 0 131.9 11.76
20 0 0 0 0
21 0 0 0 0
22 0 0 0 0
0 0 1 0 0
1 0 1 0 0
2 0 1 0 0
3 0 1 0 0
4 0 1 0 0
5 0 1 0 0
6 0 1 0 0
7 0 1 0 0
8 0 1 0 0
9 0 1 0 0
10 0 1 0 0
11 0 1 4284.1 81.77
12 0 1 5916.0 94.20
13 0 1 4868.1 89.49
14 0 1 3690.4 72.23
15 0 1 1451.6 45.16
16 0 1 610.7 26.66
17 0 1 448.1 22.79
18 0 1 159.5 13.05
19 0 1 12.6 3.44
20 0 1 0 0
0 0 2 0 0
1 0 2 0 0
2 0 2 0 0
3 0 2 0 0
4 0 2 0 0
5 0 2 0 0
6 0 2 0 0
7 0 2 0 0
8 0 2 0 0
9 0 2 0 0
10 0 2 0 0
11 0 2 11599.5 115.35
12 0 2 16296.4 136.53
13 0 2 14186.1 127.07
14 0 2 11321.2 113.08
15 0 2 4656.1 72.54
16 0 2 2123.1 49.03
17 0 2 1722.9 44.35
18 0 2 906.5 32.33
19 0 2 84.3 9.59
20 0 2 0 0
21 0 2 0 0
22 0 2 0 0
0 1 0 0 0
1 1 0 0 0
2 1 0 0 0
3 1 0 0 0
4 1 0 0 0
5 1 0 0 0
6 1 0 0 0
7 1 0 0 0
8 1 0 0 0
9 1 0 0 0
10 1 0 0 0
11 1 0 5736.8 106.94
12 1 0 8584.0 145.33
13 1 0 7888.3 125.24
14 1 0 6222.4 104.50
15 1 0 2398.5 65.85
16 1 0 1196.5 42.21
17 1 0 868.2 31.29
18 1 0 332.9 18.43
19 1 0 20.0 4.45
20 1 0 0 0
0 1 1 0 0
1 1 1 0 0
2 1 1 0 0
3 1 1 0 0
4 1 1 0 0
5 1 1 0 0
6 1 1 0 0
7 1 1 0 0
8 1 1 0 0
9 1 1 0 0
10 1 1 0 0
11 1 1 2830.0 69.12
12 1 1 4437.3 89.97
13 1 1 3666.0 82.52
14 1 1 2804.5 65.38
15 1 1 1071.8 39.52
16 1 1 450.8 6.37
17 1 1 222.9 15.07
18 1 1 66.0 8.08
19 1 1 0.1 13.15
20 1 1 0 0
0 1 2 0 0
1 1 2 0 0
2 1 2 0 0
3 1 2 0 0
4 1 2 0 0
5 1 2 0 0
6 1 2 0 0
7 1 2 0 0
8 1 2 0 0
9 1 2 0 0
10 1 2 0 0
11 1 2 8941.3 104.56
12 1 2 12416.9 123.93
13 1 2 10714.2 115.28
14 1 2 7851.2 98.40
15 1 2 3411.2 63.32
16 1 2 1540.5 42.98
17 1 2 1145.7 37.27
18 1 2 483.2 24.38
19 1 2 57.0 7.57
20 1 2 0 0
